Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.31,0.61,0.32124271700062823
75% Corpus,4,0.31,0.9099999999999999,0.32267257371886077
75% Corpus,4,0.31,symmetric,0.3159839154898438
75% Corpus,4,0.61,0.01,0.34109686798681504
75% Corpus,4,0.61,0.31,0.3268354807173981
75% Corpus,4,0.61,0.61,0.3297170201391867
75% Corpus,4,0.61,0.9099999999999999,0.33224066809775316
75% Corpus,4,0.61,symmetric,0.3292999379153882
75% Corpus,4,0.9099999999999999,0.01,0.35852237522661495
75% Corpus,4,0.9099999999999999,0.31,0.3533807949794901
75% Corpus,4,0.9099999999999999,0.61,0.3638788127056126
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.33982043846252064
75% Corpus,4,0.9099999999999999,symmetric,0.3569527235512282
75% Corpus,4,symmetric,0.01,0.3269838977720661
75% Corpus,4,symmetric,0.31,0.31503360137966774
75% Corpus,4,symmetric,0.61,0.3445800733349504
75% Corpus,4,symmetric,0.9099999999999999,0.3272065667640905
75% Corpus,4,symmetric,symmetric,0.32956315459961566
75% Corpus,4,asymmetric,0.01,0.3208064017732665
75% Corpus,4,asymmetric,0.31,0.31212397451919516
75% Corpus,4,asymmetric,0.61,0.3476398736429985
75% Corpus,4,asymmetric,0.9099999999999999,0.32966890937771853
75% Corpus,4,asymmetric,symmetric,0.3220003571668942
75% Corpus,5,0.01,0.01,0.3682979233824765
75% Corpus,5,0.01,0.31,0.34751833541688415
75% Corpus,5,0.01,0.61,0.3537670026015857
75% Corpus,5,0.01,0.9099999999999999,0.3560237318376053
75% Corpus,5,0.01,symmetric,0.36979654875297713
75% Corpus,5,0.31,0.01,0.35934912167685135
75% Corpus,5,0.31,0.31,0.3487334827446083
75% Corpus,5,0.31,0.61,0.3477718448944509
75% Corpus,5,0.31,0.9099999999999999,0.3531737804099029
75% Corpus,5,0.31,symmetric,0.3513207834741778
75% Corpus,5,0.61,0.01,0.35386948036928245
75% Corpus,5,0.61,0.31,0.3442296786866145
75% Corpus,5,0.61,0.61,0.34014286470240834
75% Corpus,5,0.61,0.9099999999999999,0.34145232753207183
75% Corpus,5,0.61,symmetric,0.3438710116579393
75% Corpus,5,0.9099999999999999,0.01,0.32921798288408854
75% Corpus,5,0.9099999999999999,0.31,0.33535521992098827
75% Corpus,5,0.9099999999999999,0.61,0.32863703807462075
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.32273258438946534
75% Corpus,5,0.9099999999999999,symmetric,0.33463934219377905
75% Corpus,5,symmetric,0.01,0.34987317084560476
75% Corpus,5,symmetric,0.31,0.36489666876752735
75% Corpus,5,symmetric,0.61,0.36066654914299007
75% Corpus,5,symmetric,0.9099999999999999,0.36336504469624964
75% Corpus,5,symmetric,symmetric,0.36258733826408024
75% Corpus,5,asymmetric,0.01,0.3339466145974874
75% Corpus,5,asymmetric,0.31,0.3340419369342401
75% Corpus,5,asymmetric,0.61,0.35468048729502827
75% Corpus,5,asymmetric,0.9099999999999999,0.35283087578181915
75% Corpus,5,asymmetric,symmetric,0.35376741844172166
75% Corpus,6,0.01,0.01,0.3310506953336785
75% Corpus,6,0.01,0.31,0.3304768495029684
75% Corpus,6,0.01,0.61,0.3528785068812616
75% Corpus,6,0.01,0.9099999999999999,0.35531061868320185
75% Corpus,6,0.01,symmetric,0.32790125719316715
75% Corpus,6,0.31,0.01,0.3286444660807036
75% Corpus,6,0.31,0.31,0.33650536300901845
75% Corpus,6,0.31,0.61,0.3470095373441953
75% Corpus,6,0.31,0.9099999999999999,0.3486445008855026
75% Corpus,6,0.31,symmetric,0.33711067360109737
75% Corpus,6,0.61,0.01,0.3338385958719021
75% Corpus,6,0.61,0.31,0.34790157125962134
75% Corpus,6,0.61,0.61,0.34677996795454497
75% Corpus,6,0.61,0.9099999999999999,0.3488399271974119
75% Corpus,6,0.61,symmetric,0.3264638491676888
75% Corpus,6,0.9099999999999999,0.01,0.3285303197293598
75% Corpus,6,0.9099999999999999,0.31,0.33571647585875536
75% Corpus,6,0.9099999999999999,0.61,0.34402024481853055
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.32599163776450535
75% Corpus,6,0.9099999999999999,symmetric,0.3288380516739242
75% Corpus,6,symmetric,0.01,0.3441770570676292
75% Corpus,6,symmetric,0.31,0.3275137160827164
75% Corpus,6,symmetric,0.61,0.330881903663641
75% Corpus,6,symmetric,0.9099999999999999,0.3440185747098743
75% Corpus,6,symmetric,symmetric,0.3430476235432794
75% Corpus,6,asymmetric,0.01,0.3297339565586888
75% Corpus,6,asymmetric,0.31,0.3370789401711903
75% Corpus,6,asymmetric,0.61,0.3343048469860905
75% Corpus,6,asymmetric,0.9099999999999999,0.3402271205026935
75% Corpus,6,asymmetric,symmetric,0.3153532454090601
75% Corpus,7,0.01,0.01,0.35476581755616793
75% Corpus,7,0.01,0.31,0.3295403423161921
75% Corpus,7,0.01,0.61,0.3330309647092657
75% Corpus,7,0.01,0.9099999999999999,0.3240245924151722
75% Corpus,7,0.01,symmetric,0.3507238914969718
75% Corpus,7,0.31,0.01,0.3754110438649339
75% Corpus,7,0.31,0.31,0.35065223196813833
75% Corpus,7,0.31,0.61,0.3471894345327672
75% Corpus,7,0.31,0.9099999999999999,0.36230339256986754
