Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,symmetric,0.31,0.6382391548330222
100% Corpus,4,symmetric,0.61,0.6646980851085891
100% Corpus,4,symmetric,0.9099999999999999,0.6266157083850084
100% Corpus,4,symmetric,symmetric,0.6382391548330221
100% Corpus,4,asymmetric,0.01,0.6335214065987989
100% Corpus,4,asymmetric,0.31,0.6278824289101557
100% Corpus,4,asymmetric,0.61,0.6202016134944343
100% Corpus,4,asymmetric,0.9099999999999999,0.6175815283794723
100% Corpus,4,asymmetric,symmetric,0.5943566793413512
100% Corpus,5,0.01,0.01,0.6060265970787603
100% Corpus,5,0.01,0.31,0.5859951453463119
100% Corpus,5,0.01,0.61,0.5995506311091294
100% Corpus,5,0.01,0.9099999999999999,0.5907504015667819
100% Corpus,5,0.01,symmetric,0.6069467374252859
100% Corpus,5,0.31,0.01,0.6218588760528421
100% Corpus,5,0.31,0.31,0.5919926427122022
100% Corpus,5,0.31,0.61,0.5934681214114242
100% Corpus,5,0.31,0.9099999999999999,0.587792580543915
100% Corpus,5,0.31,symmetric,0.5879983933044949
100% Corpus,5,0.61,0.01,0.6194823819705013
100% Corpus,5,0.61,0.31,0.6277817433916468
100% Corpus,5,0.61,0.61,0.626793323506355
100% Corpus,5,0.61,0.9099999999999999,0.6332725477015797
100% Corpus,5,0.61,symmetric,0.625806073416718
100% Corpus,5,0.9099999999999999,0.01,0.6189438513952187
100% Corpus,5,0.9099999999999999,0.31,0.6146727164910204
100% Corpus,5,0.9099999999999999,0.61,0.615395803060837
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.6118441655850699
100% Corpus,5,0.9099999999999999,symmetric,0.6178060849927277
100% Corpus,5,symmetric,0.01,0.6085952017188688
100% Corpus,5,symmetric,0.31,0.6063020984980311
100% Corpus,5,symmetric,0.61,0.5895541087366352
100% Corpus,5,symmetric,0.9099999999999999,0.597544260502264
100% Corpus,5,symmetric,symmetric,0.6084873147705334
100% Corpus,5,asymmetric,0.01,0.6008632281779007
100% Corpus,5,asymmetric,0.31,0.614769303902696
100% Corpus,5,asymmetric,0.61,0.60503752222791
100% Corpus,5,asymmetric,0.9099999999999999,0.5966740035386731
100% Corpus,5,asymmetric,symmetric,0.5957479423992409
100% Corpus,6,0.01,0.01,0.6058016865680658
100% Corpus,6,0.01,0.31,0.6259370434804357
100% Corpus,6,0.01,0.61,0.5779771766529017
100% Corpus,6,0.01,0.9099999999999999,0.6065888930449614
100% Corpus,6,0.01,symmetric,0.6129527402353893
100% Corpus,6,0.31,0.01,0.5758860123522423
100% Corpus,6,0.31,0.31,0.5971111097377003
100% Corpus,6,0.31,0.61,0.5951966947558461
100% Corpus,6,0.31,0.9099999999999999,0.5958706058551202
100% Corpus,6,0.31,symmetric,0.5860354499833201
100% Corpus,6,0.61,0.01,0.6118708425855722
100% Corpus,6,0.61,0.31,0.6161180815291876
100% Corpus,6,0.61,0.61,0.6133653106308885
100% Corpus,6,0.61,0.9099999999999999,0.6215320017528388
100% Corpus,6,0.61,symmetric,0.6291454805425758
100% Corpus,6,0.9099999999999999,0.01,0.609245821038666
100% Corpus,6,0.9099999999999999,0.31,0.617735358179019
100% Corpus,6,0.9099999999999999,0.61,0.6183524127483461
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.6091137742211238
100% Corpus,6,0.9099999999999999,symmetric,0.6196293155995899
100% Corpus,6,symmetric,0.01,0.5708487766320977
