Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.61,0.42895169454166143
75% Corpus,5,symmetric,0.9099999999999999,0.451443980935139
75% Corpus,5,symmetric,symmetric,0.44117082409854824
75% Corpus,5,asymmetric,0.01,0.45399798658240187
75% Corpus,5,asymmetric,0.31,0.43210510435361665
75% Corpus,5,asymmetric,0.61,0.42135433899474906
75% Corpus,5,asymmetric,0.9099999999999999,0.4251362711479114
75% Corpus,5,asymmetric,symmetric,0.44545787387552915
75% Corpus,6,0.01,0.01,0.40902805265520437
75% Corpus,6,0.01,0.31,0.4362214659673757
75% Corpus,6,0.01,0.61,0.38992488582646395
75% Corpus,6,0.01,0.9099999999999999,0.40672524021956374
75% Corpus,6,0.01,symmetric,0.4120565060241957
75% Corpus,6,0.31,0.01,0.4110955561801011
75% Corpus,6,0.31,0.31,0.40179696605153353
75% Corpus,6,0.31,0.61,0.43402536621653476
75% Corpus,6,0.31,0.9099999999999999,0.4292749066570964
75% Corpus,6,0.31,symmetric,0.40334580117478375
75% Corpus,6,0.61,0.01,0.40251956038486186
75% Corpus,6,0.61,0.31,0.4303433240781807
75% Corpus,6,0.61,0.61,0.4423197559696266
75% Corpus,6,0.61,0.9099999999999999,0.43796468820387585
75% Corpus,6,0.61,symmetric,0.4284057741415357
75% Corpus,6,0.9099999999999999,0.01,0.3965223243090772
75% Corpus,6,0.9099999999999999,0.31,0.4115075687143141
75% Corpus,6,0.9099999999999999,0.61,0.4151234820389717
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.41106656011984616
75% Corpus,6,0.9099999999999999,symmetric,0.4101368357336115
75% Corpus,6,symmetric,0.01,0.3961379744992481
75% Corpus,6,symmetric,0.31,0.42379775879973325
75% Corpus,6,symmetric,0.61,0.40100891373981273
75% Corpus,6,symmetric,0.9099999999999999,0.4068718696271416
75% Corpus,6,symmetric,symmetric,0.4271635428371486
75% Corpus,6,asymmetric,0.01,0.42591498841626135
75% Corpus,6,asymmetric,0.31,0.42632032187291696
75% Corpus,6,asymmetric,0.61,0.4233106645257511
75% Corpus,6,asymmetric,0.9099999999999999,0.41376763689252866
75% Corpus,6,asymmetric,symmetric,0.42505006172024756
75% Corpus,7,0.01,0.01,0.3986324964118452
75% Corpus,7,0.01,0.31,0.41099969409477827
75% Corpus,7,0.01,0.61,0.4066986304689288
75% Corpus,7,0.01,0.9099999999999999,0.4132509739691247
75% Corpus,7,0.01,symmetric,0.40905826551439767
75% Corpus,7,0.31,0.01,0.4081041800631224
75% Corpus,7,0.31,0.31,0.4146480734745014
75% Corpus,7,0.31,0.61,0.41827579724452135
75% Corpus,7,0.31,0.9099999999999999,0.4224879710677364
75% Corpus,7,0.31,symmetric,0.40663501018884596
75% Corpus,7,0.61,0.01,0.40877584989187954
75% Corpus,7,0.61,0.31,0.41271721734617206
75% Corpus,7,0.61,0.61,0.4232238213549815
75% Corpus,7,0.61,0.9099999999999999,0.41876184768478397
75% Corpus,7,0.61,symmetric,0.4153679925584672
75% Corpus,7,0.9099999999999999,0.01,0.41298404393404825
75% Corpus,7,0.9099999999999999,0.31,0.4094868097148299
75% Corpus,7,0.9099999999999999,0.61,0.4182526694628676
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4181700935091226
75% Corpus,7,0.9099999999999999,symmetric,0.41278791803771825
75% Corpus,7,symmetric,0.01,0.41836860725583547
75% Corpus,7,symmetric,0.31,0.41305210426984373
75% Corpus,7,symmetric,0.61,0.421454588540526
75% Corpus,7,symmetric,0.9099999999999999,0.42351421483557145
75% Corpus,7,symmetric,symmetric,0.4283732755796222
75% Corpus,7,asymmetric,0.01,0.4119295917260894
75% Corpus,7,asymmetric,0.31,0.4294243614846831
75% Corpus,7,asymmetric,0.61,0.427607034398458
75% Corpus,7,asymmetric,0.9099999999999999,0.4379114122533251
75% Corpus,7,asymmetric,symmetric,0.4114884408938972
75% Corpus,8,0.01,0.01,0.39769378627116597
75% Corpus,8,0.01,0.31,0.40636824819374334
75% Corpus,8,0.01,0.61,0.4101673910354695
75% Corpus,8,0.01,0.9099999999999999,0.39888110830079004
75% Corpus,8,0.01,symmetric,0.4072639702173224
75% Corpus,8,0.31,0.01,0.39686871345948116
75% Corpus,8,0.31,0.31,0.40059181376218705
75% Corpus,8,0.31,0.61,0.39992746237846744
75% Corpus,8,0.31,0.9099999999999999,0.4154845544398763
75% Corpus,8,0.31,symmetric,0.4100347044589831
75% Corpus,8,0.61,0.01,0.39086814053385455
75% Corpus,8,0.61,0.31,0.42196386753617343
75% Corpus,8,0.61,0.61,0.42061803584282587
75% Corpus,8,0.61,0.9099999999999999,0.4125756772106042
75% Corpus,8,0.61,symmetric,0.40438858456139937
75% Corpus,8,0.9099999999999999,0.01,0.40454337580058963
75% Corpus,8,0.9099999999999999,0.31,0.40490392992738466
75% Corpus,8,0.9099999999999999,0.61,0.40777063336133534
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.41179211213320277
75% Corpus,8,0.9099999999999999,symmetric,0.4091407369000298
75% Corpus,8,symmetric,0.01,0.4117957738752845
75% Corpus,8,symmetric,0.31,0.3985999119338174
75% Corpus,8,symmetric,0.61,0.4088075595312724
75% Corpus,8,symmetric,0.9099999999999999,0.41688695156708044
